# confirmed CRITIC false-fails from the 2026-07-01 36-fail dig. status=fixed rows must PASS on the current genome (tools/run_regression.sh); open rows are not-yet-fixed.
# slug	repo	sha	from	to	class	status	orig_verdict
rr_8_72	Kietyo/XenoECS	f5ed11cc03c6c88f10b9c45f66988a30b6025a77	8	11	kmp-nomain	fixed	FAIL_no_main_bytecode
rr_11_79	kotlin-bitcoin-tools/bip21	b18f0a60f7895e2f81c1629ea966553f49ddcd31	11	17	kmp-nomain	fixed	FAIL_no_main_bytecode
rr_17_30	allegro/tradukisto	4499af89c3bbe2f3fb851a1dc5955b459cef4e58	17	21	wrapper-host	fixed	FAIL_build_post
rr_17_57	chalup/advent-of-code	b5db0a1330c3cb4b4a6cbcd9781a162cdf1a1ae4	17	21	newline	fixed	FAIL
rr_8_179	sa1341/JPA_WEB_BOARD	bb224be883d98672e4b14a99462c686874038030	8	11	resetgen	fixed	FAIL_build_post
rr_17_158	kotlin-bitcoin-tools/bip21	1c76e2d5f72e143f7f3e2cbda5ac24a83a6952c4	17	21	kmp-jvmtest	fixed	FAIL_test_conservation
rr_8_189	adorsys/kc-oid4vci-deployment	c62d5ad0d4c51c5e6c125ac8ecf84a8889bd68d2	8	11	docs-reactor	open	FAIL_no_main_bytecode
rr_8_199	keycloak/keycloak	95d10fe80a1835c8bf639f0fe0337f7b0ebb4661	8	11	docs-reactor	open	FAIL_no_main_bytecode
rr_21_133	max-bolotin/task-management-app	e1c17975b2fc16c42e5d09599bb5b36aba1ee6c0	21	25	dep-scope	open	FAIL_target_not_bumped
